id;name;description;price;stock
1;Laptop Lenovo;Portátil 15'' Ryzen 5 8GB RAM 512GB SSD;2800000;10
2;Mouse Logitech;Mouse inalámbrico óptico;85000;10
3;Teclado Mecánico;Teclado RGB switches azules;220000;10
4;Monitor Samsung;Monitor LED 24'' Full HD;650000;15
5;Auriculares Sony;Auriculares Bluetooth con cancelación de ruido;420000;25
6;Impresora HP;Impresora multifuncional tinta continua;780000;8
7;Disco Duro Externo;Disco duro 2TB USB 3.0;350000;30
8;Smartphone Samsung;Galaxy S22 128GB 8GB RAM;3400000;12
9;Tablet Huawei;Tablet 10'' 64GB WiFi;950000;18
10;Silla Gamer;Silla ergonómica reclinable;600000;7